base1220_1640_batch16_FocalLosswithLovaszRegularizer

epoch	train loss	val loss	train miou	val miou	time
	1 	 0.5413 	 0.4346 	 0.5227 	 0.5917 	 115m 20.208992s
	2 	 0.4321 	 0.3979 	 0.5983 	 0.6164 	 232m 7.987673s
	3 	 0.4001 	 0.3793 	 0.6254 	 0.6466 	 347m 11.171869s
	4 	 0.3800 	 0.3664 	 0.6462 	 0.6585 	 462m 34.822490s
	5 	 0.3658 	 0.3556 	 0.6620 	 0.6708 	 577m 0.229280s
	6 	 0.3552 	 0.3453 	 0.6730 	 0.6787 	 692m 22.211899s
	7 	 0.3443 	 0.3436 	 0.6812 	 0.6864 	 807m 42.136502s
	8 	 0.3378 	 0.3317 	 0.6890 	 0.6863 	 922m 35.489095s
	9 	 0.3304 	 0.3405 	 0.6951 	 0.6912 	 1038m 54.567768s
	10 	 0.3273 	 0.3211 	 0.7016 	 0.7037 	 1155m 36.101721s
	11 	 0.3188 	 0.3232 	 0.7079 	 0.7028 	 1272m 1.727541s
	12 	 0.3158 	 0.3150 	 0.7107 	 0.7120 	 1388m 10.196301s
	13 	 0.3104 	 0.3152 	 0.7159 	 0.7125 	 1502m 50.068088s
	14 	 0.3076 	 0.3109 	 0.7204 	 0.7162 	 1618m 37.960809s
	15 	 0.3038 	 0.3070 	 0.7241 	 0.7212 	 1734m 51.553015s
	16 	 0.3005 	 0.3077 	 0.7254 	 0.7203 	 1850m 56.919391s
	17 	 0.2982 	 0.3034 	 0.7281 	 0.7241 	 1967m 26.204406s
	18 	 0.2950 	 0.3009 	 0.7317 	 0.7243 	 2083m 29.628634s
	19 	 0.2926 	 0.3011 	 0.7344 	 0.7238 	 2199m 43.856526s
	20 	 0.2910 	 0.2969 	 0.7343 	 0.7275 	 2315m 54.633931s
	21 	 0.2880 	 0.2967 	 0.7356 	 0.7327 	 2431m 46.426247s
	22 	 0.2864 	 0.2951 	 0.7400 	 0.7341 	 2547m 46.110722s
	23 	 0.2847 	 0.2943 	 0.7411 	 0.7307 	 2663m 10.745767s
	24 	 0.2831 	 0.2907 	 0.7429 	 0.7344 	 2779m 12.951451s
	25 	 0.2811 	 0.2916 	 0.7431 	 0.7328 	 2894m 24.779152s
	26 	 0.2798 	 0.2907 	 0.7457 	 0.7356 	 3010m 6.506669s
	27 	 0.2787 	 0.2911 	 0.7458 	 0.7380 	 3125m 58.277710s
	28 	 0.2776 	 0.2875 	 0.7481 	 0.7377 	 3241m 33.796859s
	29 	 0.2758 	 0.2872 	 0.7482 	 0.7379 	 3357m 37.974900s
	30 	 0.2749 	 0.2865 	 0.7487 	 0.7407 	 3473m 58.037726s
	31 	 0.2741 	 0.2852 	 0.7497 	 0.7415 	 3590m 17.795895s
	32 	 0.2727 	 0.2859 	 0.7531 	 0.7407 	 3706m 5.423826s
	33 	 0.2721 	 0.2826 	 0.7527 	 0.7414 	 3822m 15.058157s
	34 	 0.2706 	 0.2846 	 0.7538 	 0.7430 	 3937m 52.076437s
	35 	 0.2703 	 0.2837 	 0.7530 	 0.7450 	 4054m 30.916079s
	36 	 0.2695 	 0.2834 	 0.7553 	 0.7423 	 4170m 46.031223s
	37 	 0.2687 	 0.2826 	 0.7564 	 0.7445 	 4287m 1.122192s
	38 	 0.2680 	 0.2810 	 0.7577 	 0.7439 	 4403m 30.886518s
	39 	 0.2670 	 0.2813 	 0.7563 	 0.7452 	 4519m 22.677809s
	40 	 0.2667 	 0.2800 	 0.7581 	 0.7455 	 4636m 10.255568s
	41 	 0.2658 	 0.2803 	 0.7572 	 0.7462 	 4752m 29.273551s
	42 	 0.2656 	 0.2786 	 0.7581 	 0.7474 	 4868m 28.500300s
	43 	 0.2647 	 0.2781 	 0.7588 	 0.7484 	 4985m 10.781904s
	44 	 0.2640 	 0.2786 	 0.7606 	 0.7478 	 5101m 33.029778s
	45 	 0.2637 	 0.2786 	 0.7597 	 0.7482 	 5216m 32.743821s
	46 	 0.2633 	 0.2784 	 0.7601 	 0.7484 	 5332m 49.129807s
	47 	 0.2630 	 0.2790 	 0.7606 	 0.7459 	 5449m 12.456461s
	48 	 0.2628 	 0.2785 	 0.7608 	 0.7497 	 5564m 25.440214s

[train time information]
	train start time	2023-12-20 16:40:23.411075
	end of train		2023-12-24 13:24:50.059422
	total train time	3 days, 20:44:26.648363
