
epoch	train loss	val loss	train mIoU	val mIoU	time
	1 	 0.8384 	 0.6604 	 0.2301 	 0.3968 	 112m 26.923916s
	2 	 0.6071 	 0.5176 	 0.4145 	 0.5156 	 227m 43.684916s
	3 	 0.5174 	 0.4959 	 0.5172 	 0.5575 	 339m 4.557146s
	4 	 0.4764 	 0.4318 	 0.5669 	 0.6522 	 450m 50.790277s
	5 	 0.4351 	 0.4038 	 0.6381 	 0.7059 	 563m 22.747394s
	6 	 0.4093 	 0.3865 	 0.6841 	 0.7015 	 675m 14.183219s
	7 	 0.3889 	 0.3668 	 0.6977 	 0.7216 	 787m 27.029948s
	8 	 0.3699 	 0.3542 	 0.7213 	 0.7611 	 899m 15.001710s
	9 	 0.3555 	 0.3541 	 0.7544 	 0.7693 	 1011m 34.161764s
	10 	 0.3441 	 0.3366 	 0.7625 	 0.7491 	 1123m 38.187486s
	11 	 0.3313 	 0.3205 	 0.7598 	 0.7840 	 1235m 19.633096s
	12 	 0.3183 	 0.3104 	 0.7863 	 0.7998 	 1347m 53.692323s
	13 	 0.3091 	 0.3032 	 0.7978 	 0.7983 	 1460m 13.910648s
	14 	 0.3014 	 0.2905 	 0.8011 	 0.8198 	 1572m 46.918115s
	15 	 0.2923 	 0.2853 	 0.8170 	 0.8194 	 1684m 18.775023s
	16 	 0.2853 	 0.2807 	 0.8210 	 0.8319 	 1796m 56.429309s
	17 	 0.2803 	 0.2765 	 0.8304 	 0.8280 	 1909m 16.457855s
	18 	 0.2732 	 0.3314 	 0.8315 	 0.7837 	 2021m 14.594738s
	19 	 0.2812 	 0.2613 	 0.8045 	 0.8423 	 2133m 41.534764s
	20 	 0.2624 	 0.2553 	 0.8427 	 0.8487 	 2246m 17.428791s
	21 	 0.2560 	 0.2563 	 0.8495 	 0.8411 	 2358m 42.657928s
	22 	 0.2542 	 0.2494 	 0.8452 	 0.8471 	 2471m 38.017023s
	23 	 0.2484 	 0.2488 	 0.8506 	 0.8342 	 2583m 50.963020s
	24 	 0.2455 	 0.2480 	 0.8442 	 0.8525 	 2696m 0.947277s
	25 	 0.2414 	 0.2434 	 0.8577 	 0.8549 	 2808m 35.516109s
	26 	 0.2391 	 0.2405 	 0.8574 	 0.8635 	 2921m 3.520687s
	27 	 0.2338 	 0.2367 	 0.8670 	 0.8647 	 3033m 40.334205s
	28 	 0.2313 	 0.2397 	 0.8685 	 0.8567 	 3145m 40.035844s
	29 	 0.2295 	 0.2309 	 0.8641 	 0.8682 	 3258m 13.611639s
	30 	 0.2250 	 0.2272 	 0.8734 	 0.8711 	 3370m 24.348850s
	31 	 0.2220 	 0.2275 	 0.8755 	 0.8625 	 3483m 7.012166s
	32 	 0.2206 	 0.2265 	 0.8722 	 0.8676 	 3595m 34.037873s
	33 	 0.2181 	 0.2242 	 0.8724 	 0.8618 	 3707m 10.748139s
	34 	 0.2153 	 0.2221 	 0.8738 	 0.8729 	 3819m 24.823544s
	35 	 0.2131 	 0.2206 	 0.8797 	 0.8772 	 3932m 20.225561s
	36 	 0.2108 	 0.2218 	 0.8833 	 0.8755 	 4045m 28.672488s
	37 	 0.2107 	 0.2285 	 0.8814 	 0.8732 	 4158m 3.430602s
	38 	 0.2090 	 0.2159 	 0.8829 	 0.8792 	 4270m 12.673153s
	39 	 0.2047 	 0.2161 	 0.8877 	 0.8804 	 4389m 46.464707s
	40 	 0.2031 	 0.2133 	 0.8881 	 0.8842 	 4501m 43.551820s
	41 	 0.2017 	 0.2113 	 0.8883 	 0.8855 	 4613m 0.851648s
	42 	 0.2002 	 0.2113 	 0.8901 	 0.8820 	 4728m 25.559060s
	43 	 0.1977 	 0.2094 	 0.8913 	 0.8853 	 4844m 34.842337s
	44 	 0.1967 	 0.2087 	 0.8921 	 0.8839 	 4956m 52.826040s
	45 	 0.1944 	 0.2072 	 0.8929 	 0.8867 	 5068m 40.912306s
	46 	 0.1933 	 0.2070 	 0.8934 	 0.8888 	 5181m 6.905423s
	47 	 0.1920 	 0.2105 	 0.8959 	 0.8905 	 5294m 29.656435s
	48 	 0.1918 	 0.2026 	 0.8964 	 0.8929 	 5409m 13.631559s
	49 	 0.1887 	 0.2026 	 0.8993 	 0.8881 	 5523m 9.022696s
	50 	 0.1873 	 0.2049 	 0.8976 	 0.8917 	 5637m 8.315375s
	51 	 0.1877 	 0.2009 	 0.8981 	 0.8897 	 5758m 20.292328s
	52 	 0.1846 	 0.1994 	 0.9002 	 0.8938 	 5872m 16.659812s
	53 	 0.1836 	 0.1974 	 0.9006 	 0.8931 	 5986m 24.589991s
	54 	 0.1832 	 0.1955 	 0.9012 	 0.8983 	 6100m 44.149081s
	55 	 0.1806 	 0.1964 	 0.9048 	 0.8938 	 6222m 48.227945s
	56 	 0.1808 	 0.1936 	 0.9014 	 0.8887 	 6337m 2.465363s
	57 	 0.1790 	 0.1974 	 0.9008 	 0.8973 	 6451m 8.352436s
	58 	 0.1785 	 0.1921 	 0.9034 	 0.8987 	 6564m 56.784259s
	59 	 0.1771 	 0.1937 	 0.9052 	 0.8963 	 6678m 45.519975s
	60 	 0.1761 	 0.1946 	 0.9057 	 0.8980 	 6792m 34.304743s
	61 	 0.1754 	 0.1908 	 0.9059 	 0.8987 	 6906m 41.922815s
	62 	 0.1739 	 0.1926 	 0.9068 	 0.8988 	 7020m 27.948113s
	63 	 0.1734 	 0.1931 	 0.9070 	 0.8996 	 7134m 30.514140s
	64 	 0.1727 	 0.1935 	 0.9074 	 0.8960 	 7256m 8.674909s
	65 	 0.1724 	 0.1897 	 0.9055 	 0.9005 	 7369m 38.800966s
	66 	 0.1704 	 0.1892 	 0.9091 	 0.9003 	 7485m 52.577994s
	67 	 0.1701 	 0.1937 	 0.9094 	 0.8938 	 7601m 8.410673s
	68 	 0.1698 	 0.1915 	 0.9058 	 0.8950 	 7712m 8.958729s
	69 	 0.1683 	 0.1896 	 0.9073 	 0.8998 	 7823m 29.841049s
	70 	 0.1678 	 0.1892 	 0.9103 	 0.8980 	 7935m 39.965752s
	71 	 0.1664 	 0.1873 	 0.9091 	 0.8994 	 8048m 16.713662s
	72 	 0.1661 	 0.1867 	 0.9098 	 0.8989 	 8160m 16.640723s
	73 	 0.1646 	 0.1863 	 0.9102 	 0.9012 	 8272m 19.160230s
	74 	 0.1647 	 0.1845 	 0.9095 	 0.9052 	 8384m 26.723659s
	75 	 0.1632 	 0.1887 	 0.9136 	 0.9009 	 8496m 18.792692s
	76 	 0.1636 	 0.1854 	 0.9119 	 0.9053 	 8616m 48.430042s
	77 	 0.1621 	 0.1834 	 0.9148 	 0.9047 	 8737m 10.574266s
	78 	 0.1616 	 0.1846 	 0.9137 	 0.9027 	 8849m 58.518785s
	79 	 0.1606 	 0.1852 	 0.9132 	 0.9039 	 8965m 55.171321s
	80 	 0.1619 	 0.1830 	 0.9136 	 0.9070 	 9077m 48.951106s
	81 	 0.1584 	 0.1813 	 0.9166 	 0.9048 	 9189m 32.374050s
	82 	 0.1582 	 0.1820 	 0.9155 	 0.9017 	 9301m 48.540490s
	83 	 0.1592 	 0.1803 	 0.9135 	 0.9067 	 9414m 40.753415s
	84 	 0.1562 	 0.1850 	 0.9166 	 0.9036 	 9527m 49.228040s
	85 	 0.1575 	 0.1809 	 0.9147 	 0.9048 	 9641m 23.027630s
	86 	 0.1559 	 0.1795 	 0.9159 	 0.9070 	 9754m 41.765562s
	87 	 0.1561 	 0.1830 	 0.9167 	 0.8999 	 9868m 10.186747s
	88 	 0.1554 	 0.1792 	 0.9125 	 0.9055 	 9981m 31.668513s
	89 	 0.1542 	 0.1790 	 0.9166 	 0.9050 	 10093m 48.722117s
	90 	 0.1536 	 0.1810 	 0.9164 	 0.9071 	 10207m 2.528567s
	91 	 0.1536 	 0.1800 	 0.9177 	 0.9089 	 10321m 29.628177s
	92 	 0.1532 	 0.1844 	 0.9190 	 0.8962 	 10437m 56.850564s
